epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6873.29,0.59186,0.52029,0.9753,0.91296,0.87166,0.93506,0.80647,0.59242,0.60418,1.04111,0.00098525,0.00098525,0.00098525
43,7020.91,0.59358,0.50308,1.00424,0.9305,0.86704,0.93042,0.80293,0.58756,0.56191,1.02639,0.0009605,0.0009605,0.0009605
44,7149.24,0.61062,0.5516,1.02024,0.91448,0.85899,0.93262,0.79822,0.57623,0.57315,1.01653,0.00093575,0.00093575,0.00093575
45,7303.93,0.58601,0.53343,1.01824,0.94259,0.86704,0.93849,0.80657,0.5815,0.57011,1.02266,0.000911,0.000911,0.000911
46,7457.28,0.5732,0.51658,1.00412,0.91115,0.90028,0.94293,0.82307,0.54771,0.58028,1.00897,0.00088625,0.00088625,0.00088625
47,7610.26,0.57194,0.51679,0.99068,0.8978,0.90305,0.93457,0.8037,0.58314,0.71234,1.03396,0.0008615,0.0008615,0.0008615
48,7763.32,0.57603,0.49474,1.01736,0.93991,0.88089,0.93943,0.81153,0.57593,0.58384,1.02089,0.00083675,0.00083675,0.00083675
49,7916.98,0.54703,0.4674,0.97721,0.94103,0.86981,0.93745,0.81486,0.55238,0.57811,1.00788,0.000812,0.000812,0.000812
50,8066.88,0.56252,0.50479,0.98897,0.90282,0.90073,0.93739,0.81616,0.57073,0.57092,1.02201,0.00078725,0.00078725,0.00078725
51,8219.12,0.54318,0.47364,0.99237,0.94359,0.86981,0.94317,0.81861,0.57147,0.56219,1.02561,0.0007625,0.0007625,0.0007625
52,8367.52,0.56401,0.47014,1.00727,0.907,0.89147,0.94107,0.81821,0.56035,0.56808,1.00516,0.00073775,0.00073775,0.00073775
53,8518.15,0.56335,0.48401,1.00136,0.93141,0.8892,0.93998,0.81874,0.56274,0.5591,1.01161,0.000713,0.000713,0.000713
54,8668.13,0.56876,0.49804,1.00034,0.90837,0.90625,0.9436,0.83136,0.54656,0.54044,1.00619,0.00068825,0.00068825,0.00068825
55,8818.83,0.5658,0.48177,1.00455,0.92768,0.8883,0.93896,0.8148,0.5715,0.58739,1.01932,0.0006635,0.0006635,0.0006635
56,9233.26,0.52763,0.45738,0.96431,0.94112,0.87812,0.942,0.82187,0.56813,0.58738,1.03219,0.00063875,0.00063875,0.00063875
