epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2128.18,0.60517,0.53151,0.91629,0.87491,0.82844,0.90218,0.75793,0.63216,0.68106,0.9482,0.00165689,0.00165689,0.00165689
43,2165.71,0.59542,0.52149,0.91734,0.85509,0.85247,0.91137,0.77403,0.61285,0.67083,0.93436,0.00164105,0.00164105,0.00164105
44,2207.16,0.60906,0.53781,0.92443,0.83531,0.82619,0.8784,0.74414,0.62518,0.72179,0.953,0.00162494,0.00162494,0.00162494
45,2248.42,0.57574,0.5119,0.89742,0.85245,0.85327,0.90997,0.77302,0.61108,0.67518,0.93554,0.00160855,0.00160855,0.00160855
46,2290.79,0.59947,0.52736,0.92074,0.87083,0.81941,0.90618,0.76679,0.6386,0.72541,0.96768,0.00159191,0.00159191,0.00159191
47,2333.46,0.59937,0.51793,0.91689,0.87315,0.80799,0.88467,0.74268,0.62404,0.73059,0.94389,0.00157501,0.00157501,0.00157501
48,2375.72,0.58444,0.50322,0.91368,0.85213,0.8623,0.90967,0.77675,0.59258,0.64789,0.92914,0.00155786,0.00155786,0.00155786
49,2418.1,0.58644,0.52484,0.90445,0.84588,0.86456,0.89703,0.75783,0.61986,0.69103,0.93528,0.00154047,0.00154047,0.00154047
50,2461.86,0.58102,0.49102,0.91121,0.88346,0.83854,0.90666,0.78303,0.59062,0.67404,0.93699,0.00152285,0.00152285,0.00152285
51,2519.82,0.55154,0.48177,0.89388,0.90886,0.8307,0.91683,0.78998,0.56848,0.64922,0.92837,0.001505,0.001505,0.001505
52,2568.79,0.55504,0.46806,0.89196,0.88345,0.8465,0.90947,0.78976,0.58472,0.65825,0.93995,0.00148694,0.00148694,0.00148694
53,2610.17,0.56437,0.48027,0.90111,0.87779,0.89391,0.92055,0.79385,0.61016,0.62049,0.94772,0.00146866,0.00146866,0.00146866
54,2648.96,0.53691,0.47184,0.88605,0.88304,0.90324,0.92716,0.80634,0.56796,0.59592,0.92457,0.00145019,0.00145019,0.00145019
55,2690.4,0.54082,0.45652,0.89668,0.90431,0.83747,0.9136,0.78704,0.57917,0.6158,0.93011,0.00143152,0.00143152,0.00143152
56,2730.19,0.54062,0.45332,0.88479,0.87731,0.88036,0.92451,0.80598,0.55871,0.60375,0.9106,0.00141267,0.00141267,0.00141267
57,2773.19,0.53458,0.45395,0.89354,0.86803,0.87597,0.91581,0.78997,0.56741,0.59699,0.9159,0.00139364,0.00139364,0.00139364
58,2814.43,0.53066,0.44889,0.88947,0.90371,0.86907,0.92734,0.8097,0.54758,0.61529,0.90022,0.00137444,0.00137444,0.00137444
59,2856.2,0.53433,0.4529,0.89667,0.88347,0.8623,0.92156,0.80222,0.56331,0.6249,0.91542,0.00135509,0.00135509,0.00135509
60,2899.63,0.52607,0.43849,0.89197,0.88574,0.86456,0.92254,0.8036,0.55416,0.58322,0.90896,0.00133558,0.00133558,0.00133558
61,2939.22,0.53252,0.45829,0.89428,0.88886,0.86005,0.92675,0.80249,0.5459,0.58517,0.90576,0.00131593,0.00131593,0.00131593
62,2980.23,0.52586,0.4579,0.89444,0.89524,0.86804,0.93294,0.81908,0.53379,0.55902,0.91089,0.00129614,0.00129614,0.00129614
63,3019.8,0.5163,0.42451,0.87859,0.92138,0.8465,0.92836,0.81214,0.54498,0.59386,0.91936,0.00127623,0.00127623,0.00127623
64,3060.72,0.51605,0.44748,0.88227,0.85543,0.89165,0.91971,0.80759,0.53874,0.60848,0.9078,0.0012562,0.0012562,0.0012562
65,3103.07,0.49075,0.40982,0.87814,0.88252,0.87585,0.92156,0.80828,0.55806,0.59679,0.91569,0.00123607,0.00123607,0.00123607
66,3144.4,0.49802,0.40935,0.87436,0.90306,0.86682,0.92494,0.80965,0.52819,0.60065,0.90805,0.00121583,0.00121583,0.00121583
67,3186.12,0.49941,0.41824,0.86878,0.91128,0.85788,0.93324,0.82532,0.53287,0.57132,0.90274,0.00119551,0.00119551,0.00119551
68,3225.99,0.49264,0.40014,0.86863,0.85748,0.90293,0.92471,0.81392,0.52493,0.61018,0.89369,0.0011751,0.0011751,0.0011751
69,3272.71,0.48927,0.40069,0.87301,0.92399,0.86907,0.93346,0.81835,0.52727,0.55486,0.89135,0.00115462,0.00115462,0.00115462
70,3312.43,0.47749,0.39965,0.86299,0.89701,0.90438,0.93141,0.83015,0.5073,0.56466,0.89028,0.00113408,0.00113408,0.00113408
71,3351.72,0.50041,0.41725,0.86787,0.89075,0.88343,0.93533,0.8316,0.51708,0.54454,0.88824,0.00111348,0.00111348,0.00111348
72,3393.56,0.48452,0.39085,0.86807,0.90473,0.87359,0.93461,0.82456,0.52594,0.55032,0.91116,0.00109284,0.00109284,0.00109284
73,3438.52,0.47627,0.39007,0.86766,0.91442,0.86907,0.93897,0.83725,0.50476,0.5198,0.89378,0.00107216,0.00107216,0.00107216
74,3482.26,0.4841,0.40378,0.87662,0.91024,0.8781,0.93556,0.82534,0.5313,0.55323,0.91,0.00105146,0.00105146,0.00105146
75,3532.1,0.46588,0.38189,0.86072,0.9149,0.8737,0.92885,0.82235,0.52272,0.57854,0.89832,0.00103073,0.00103073,0.00103073
76,3581.01,0.48197,0.39856,0.87355,0.92228,0.88262,0.94426,0.8435,0.49985,0.51288,0.8971,0.00101,0.00101,0.00101
77,3624.24,0.46573,0.38596,0.8735,0.89198,0.88488,0.93284,0.83185,0.5131,0.57021,0.90885,0.000989267,0.000989267,0.000989267
78,3664.1,0.45654,0.37115,0.85798,0.90585,0.89043,0.93935,0.83606,0.50402,0.50017,0.90288,0.000968543,0.000968543,0.000968543
79,3705.48,0.46217,0.38116,0.86608,0.93154,0.89081,0.94418,0.83054,0.52038,0.50766,0.91576,0.000947837,0.000947837,0.000947837
80,3745.61,0.45772,0.37605,0.86376,0.9017,0.89036,0.93826,0.83851,0.49255,0.52069,0.89265,0.000927159,0.000927159,0.000927159
81,3793.18,0.44962,0.36684,0.85309,0.90535,0.88525,0.94298,0.84043,0.49803,0.51997,0.8933,0.000906517,0.000906517,0.000906517
82,3840.75,0.44399,0.36149,0.85675,0.89408,0.89391,0.93806,0.83268,0.50025,0.54895,0.90081,0.00088592,0.00088592,0.00088592
83,3882.15,0.44402,0.35597,0.85835,0.89115,0.9056,0.9357,0.83687,0.51577,0.51603,0.91532,0.000865378,0.000865378,0.000865378
84,3921.79,0.44396,0.34884,0.85827,0.93546,0.89616,0.94179,0.84012,0.49922,0.49719,0.89547,0.000844899,0.000844899,0.000844899
85,3961.52,0.45061,0.34789,0.85993,0.91976,0.87969,0.9362,0.84379,0.49063,0.51647,0.8845,0.000824492,0.000824492,0.000824492
86,4000.67,0.43078,0.34546,0.85186,0.91471,0.90293,0.93966,0.83685,0.50189,0.52261,0.90183,0.000804167,0.000804167,0.000804167
