epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1498.98,0.70621,0.65793,0.99551,0.89684,0.8838,0.94059,0.77213,0.71286,0.64198,1.0113,0.0009176,0.0009176,0.0009176
43,1534.25,0.68058,0.61503,0.97958,0.87911,0.82746,0.91782,0.74978,0.68315,0.74823,0.99914,0.0008912,0.0008912,0.0008912
44,1570.7,0.68298,0.65989,1.01225,0.88618,0.85563,0.94384,0.76706,0.70896,0.66344,1.01549,0.0008648,0.0008648,0.0008648
45,1605.61,0.68595,0.61929,1.00094,0.86981,0.8838,0.939,0.77909,0.68009,0.62348,0.9967,0.0008384,0.0008384,0.0008384
46,1642.53,0.66698,0.64408,0.99378,0.8785,0.89107,0.94,0.79268,0.67217,0.64089,1.00131,0.000812,0.000812,0.000812
47,1678.49,0.67078,0.59325,0.97775,0.90892,0.84331,0.93808,0.78138,0.67014,0.70158,0.98104,0.0007856,0.0007856,0.0007856
48,1718.06,0.67965,0.62076,0.99342,0.90427,0.88028,0.94287,0.78057,0.68699,0.65858,0.99966,0.0007592,0.0007592,0.0007592
49,1757.15,0.63319,0.55189,0.97941,0.87778,0.89437,0.94443,0.79095,0.66699,0.74158,1.00718,0.0007328,0.0007328,0.0007328
50,1794.09,0.65648,0.66043,0.98975,0.80694,0.86833,0.90531,0.74268,0.64482,0.74067,0.99424,0.0007064,0.0007064,0.0007064
51,1833,0.61992,0.66742,0.9458,0.8941,0.84155,0.93549,0.78487,0.63228,0.65396,0.98781,0.00068,0.00068,0.00068
52,1872.12,0.63764,0.5844,0.97379,0.86359,0.89166,0.93677,0.79614,0.63011,0.67708,0.98575,0.0006536,0.0006536,0.0006536
53,1912.11,0.63005,0.57823,0.99094,0.89784,0.86652,0.94331,0.78932,0.64679,0.60024,0.97753,0.0006272,0.0006272,0.0006272
54,1948.31,0.60619,0.53423,0.95117,0.93002,0.88028,0.95746,0.81851,0.61794,0.59285,0.97146,0.0006008,0.0006008,0.0006008
